
PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,PrecipitationCm, CloudCover, Events,WindDirDegrees
1997-4-1,25,20,15,15,14,11,94,77,50,1011,1009,1007,10,7,5,24,10,,0.00,5,Rain-Thunderstorm,89
1997-4-2,25,20,15,17,14,6,94,77,43,1010,1008,1006,10,7,5,23,8,,0.00,5,Rain-Thunderstorm,63
1997-4-3,18,17,15,15,14,12,94,85,77,1011,1008,1006,10,7,5,16,6,,0.00,6,Rain-Thunderstorm,77
1997-4-4,22,18,14,14,12,11,94,73,56,1016,1014,1011,10,8,6,27,11,,0.00,4,Thunderstorm,61
1997-4-5,25,19,14,13,12,9,88,64,38,1015,1013,1011,10,7,6,19,11,,0.00,1,,319
1997-4-6,26,20,15,13,12,10,88,59,39,1016,1014,1012,10,7,4,13,3,,0.00,2,,265
1997-4-7,29,23,17,17,14,13,77,59,37,1012,1008,1005,10,7,5,19,10,,0.00,1,,307
1997-4-8,30,24,18,19,16,14,88,68,40,1008,1007,1006,10,7,2,27,5,,0.00,3,,65
1997-4-9,28,23,19,19,16,14,88,64,48,1010,1008,1005,10,8,5,19,6,,0.00,2,Thunderstorm,113
1997-4-10,29,22,15,18,16,13,88,65,45,1012,1010,1009,10,7,5,13,10,,0.00,1,,95
1997-4-11,31,24,19,19,17,13,83,60,43,1011,1009,1008,8,6,5,16,3,,0.00,1,,208
1997-4-12,30,25,20,19,16,12,83,58,35,1012,1009,1005,7,6,3,19,5,,0.00,3,Thunderstorm,354
1997-4-13,30,26,21,22,17,15,89,59,43,1009,1006,1003,8,7,1,23,13,,0.00,4,Thunderstorm,52
1997-4-14,34,27,20,16,14,9,78,50,23,1006,1003,1001,8,6,5,27,16,,0.00,2,Thunderstorm,157
1997-4-15,31,24,19,17,14,4,83,58,18,1009,1008,1006,10,7,5,37,16,,0.00,3,Rain-Thunderstorm,340
1997-4-16,28,22,17,16,11,6,77,50,26,1014,1011,1008,10,8,5,23,13,,0.00,2,Thunderstorm,329
1997-4-17,28,21,15,12,10,8,77,49,28,1013,1011,1001,7,6,5,16,5,,0.00,1,,355
1997-4-18,31,23,15,17,12,8,72,49,25,1013,1012,1011,10,7,5,19,3,,0.00,2,,276
1997-4-19,33,26,18,16,13,9,77,49,29,1014,1012,1010,10,8,6,19,8,,0.00,1,,314
1997-4-20,33,26,18,16,14,13,73,48,31,1012,1011,1009,10,7,6,21,5,,0.00,3,,326
1997-4-21,35,27,19,17,13,11,78,44,24,1011,1010,1008,10,7,5,23,10,,0.00,2,,317
1997-4-22,36,29,23,16,13,10,57,36,22,1011,1009,1007,7,6,5,19,10,,0.00,0,,306
1997-4-23,37,29,21,17,14,8,73,41,17,1011,1009,1007,10,6,3,19,5,,0.00,-454,,297
1997-4-24,39,31,23,17,13,8,65,37,16,1010,1007,1005,10,7,5,23,6,,0.00,1,,273
1997-4-25,37,29,22,17,14,7,73,44,18,1006,1005,1002,10,6,3,14,5,,0.00,2,,233
1997-4-26,40,32,24,17,14,11,65,36,17,1006,1004,1002,10,7,3,27,5,,0.00,3,,153
1997-4-27,32,27,22,18,15,13,69,48,33,1010,1006,990,10,8,5,37,29,40,0.00,5,Rain-Thunderstorm,38
1997-4-28,35,28,20,19,16,14,88,55,32,1010,1008,1005,8,6,4,24,13,,0.00,4,Rain-Thunderstorm,10
1997-4-29,30,26,21,19,17,15,88,58,42,1011,1010,1007,8,7,6,19,8,,0.00,4,Rain,102
1997-4-30,33,27,21,19,17,14,78,54,33,1014,1011,1009,10,7,2,16,3,,0.00,3,,350
<!-- 0.201:0 -->
