
PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,PrecipitationCm, CloudCover, Events,WindDirDegrees
1999-9-1,37,32,27,25,23,19,84,61,39,1003,1001,1000,10,8,7,10,2,,0.00,1,,213
1999-9-2,35,32,29,25,24,22,79,65,47,1005,1003,1001,8,7,4,24,3,,0.00,2,,60
1999-9-3,36,31,27,26,24,22,89,68,50,1004,1002,1000,8,7,6,10,2,,0.00,2,,129
1999-9-4,35,31,28,26,24,23,89,69,49,1005,1003,1001,8,7,5,14,3,,0.00,2,,70
1999-9-5,36,29,23,26,24,21,94,72,50,1004,1003,1000,10,7,3,23,2,,0.00,2,Rain-Thunderstorm,113
1999-9-6,33,29,25,25,24,23,94,78,55,1006,1004,1002,8,7,5,13,3,,0.00,2,,98
1999-9-7,35,30,26,25,23,21,94,70,47,1005,1003,1002,8,7,6,10,2,,0.00,1,,210
1999-9-8,36,31,26,29,24,23,89,69,47,1005,1003,1001,8,7,7,8,2,,0.00,1,,262
1999-9-9,36,32,28,26,24,22,84,64,44,1004,1002,1000,10,8,5,16,3,,0.00,1,,249
1999-9-10,33,29,25,27,23,7,89,73,32,1007,1004,1002,10,8,6,19,8,,0.00,3,Rain-Thunderstorm,103
1999-9-11,35,30,26,25,23,19,89,69,43,1006,1004,1001,10,7,5,13,2,,0.00,1,,234
1999-9-12,34,30,26,25,24,23,89,70,52,1004,1002,1000,8,7,5,8,0,,0.00,2,Thunderstorm,0
1999-9-13,34,30,27,25,24,23,89,72,52,1006,1003,1001,8,7,7,10,5,,0.00,1,,348
1999-9-14,35,31,27,26,24,23,89,69,49,1004,1002,1000,8,6,3,10,0,,0.00,1,,150
1999-9-15,34,30,26,26,24,23,94,74,56,1004,1002,1000,10,7,6,13,6,,0.00,1,,99
1999-9-16,35,31,27,25,24,23,89,76,56,1002,1001,999,7,6,5,16,2,,0.00,2,Rain-Thunderstorm,345
1999-9-17,34,30,27,25,24,23,89,75,55,1002,1000,999,7,5,1,14,2,,0.00,3,,110
1999-9-18,35,30,26,25,23,19,89,66,39,1003,1001,1000,10,7,3,10,2,,0.00,2,,130
1999-9-19,36,30,25,25,23,21,84,67,44,1008,1005,1003,8,6,2,34,3,,0.00,3,Thunderstorm,110
1999-9-20,35,29,24,24,22,21,89,67,46,1009,1006,1005,10,7,6,16,6,,0.00,0,,301
1999-9-21,36,30,25,24,22,17,89,63,32,1008,1005,1002,8,6,5,13,2,,0.00,0,,268
1999-9-22,37,31,26,23,22,18,79,58,36,1007,1004,1002,10,6,3,13,2,,0.00,0,,120
1999-9-23,36,30,25,24,23,20,83,64,41,1008,1006,1005,8,6,3,14,3,,0.00,1,,99
1999-9-24,32,28,25,25,23,21,89,74,52,1011,1008,1005,8,6,3,24,5,,0.00,0,Thunderstorm,53
1999-9-25,35,30,25,23,22,20,89,61,41,1009,1006,1004,8,6,4,16,3,,0.00,0,,47
1999-9-26,36,31,26,23,22,20,79,61,39,1007,1006,1005,8,7,4,10,2,,0.00,1,,181
1999-9-27,36,31,26,24,22,20,83,61,39,1009,1007,1005,10,6,3,13,2,,0.00,1,,94
1999-9-28,35,30,26,24,22,19,84,63,41,1011,1008,1006,8,6,3,23,8,,0.00,1,,98
1999-9-29,34,29,23,25,23,21,94,74,52,1013,1009,1006,8,6,2,16,3,,0.00,2,Rain-Thunderstorm,71
1999-9-30,31,26,22,23,22,21,94,77,55,1014,1011,1008,10,7,3,13,8,,0.00,3,,351
<!-- 0.195:0 -->
